Copy Scale Add Triad Fill Copy2 Daxpy Sum
93923.48 94869.01 90820.93 89759.84 100421.78 85999.58 98593.58 102342.66
88498.62 90641.59 92619.86 94040.42 102488.53 89955.76 97079.15 100221.13
91992.28 90906.14 93260.08 94387.80 100184.23 94594.47 96295.26 101945.00
89812.61 94195.43 89854.60 93697.50 94197.67 95089.71 94102.06 103863.92
92280.49 87496.71 91171.71 91255.05 89353.40 91111.09 97220.70 102662.90
88823.19 87318.55 92124.89 91785.71 98879.29 91640.90 94460.28 107241.82
92687.95 92164.35 94450.73 93350.71 101005.30 89864.10 98679.53 102330.44
92175.44 92234.66 89774.58 95839.02 100433.17 85651.12 98798.57 101567.46
91810.71 93585.44 91749.86 92132.20 101557.86 95337.89 98698.83 101639.26
94935.93 87153.34 92754.61 91023.97 99834.18 95261.27 95242.90 102742.18
